id_pedido,codigo_producto,cantidad,precio_unitario,devuelto
1,P00117,1,"265,19",False
1,P00157,1,"30,58",True
1,P00134,3,"236,64",False
1,P00146,1,"72,70",False
2,P00099,3,"239,40",False
3,P00240,2,"149,80",False
3,P00149,3,"347,81",False
4,P00012,2,"269,88",True
4,P00204,3,"96,66",False
4,P00140,1,"362,70",False
4,P00222,3,"81,53",False
4,P00067,2,"46,14",False
5,P00176,1,"9,71",False
5,P00031,1,"590,54",False
5,P00063,2,"371,20",True
6,P00143,3,"301,03",False
6,P00067,2,"46,14",False
6,P00195,3,"71,39",False
6,P00080,1,"59,96",False
6,P00049,3,"161,53",False
7,P00072,2,"75,40",False
7,P00115,2,"376,62",False
8,P00228,3,"760,30",False
8,P00104,2,"197,82",False
8,P00184,1,"33,80",True
8,P00141,1,"481,77",False
8,P00165,3,"159,20",True
9,P00039,1,"83,24",False
9,P00132,2,"182,80",False
9,P00197,2,"124,56",False
9,P00039,2,"83,24",False
9,P00136,2,"46,94",False
10,P00120,1,"19,33",False
10,P00092,3,"28,64",False
11,P00005,1,"44,38",False
11,P00041,3,"449,53",True
11,P00198,3,"230,90",False
11,P00142,3,"229,74",False
12,P00202,3,"20,79",False
12,P00089,3,"226,25",True
13,P00045,1,"271,39",True
13,P00110,2,"211,81",True
13,P00022,1,"33,95",False
13,P00134,1,"236,64",False
13,P00008,1,"59,31",False
14,P00018,2,"14,41",True
14,P00008,3,"59,31",False
14,P00243,3,"52,83",False
14,P00003,2,"37,48",False
15,P00098,3,"346,71",True
15,P00225,2,"19,32",False
15,P00229,1,"112,59",False
16,P00028,3,"164,63",True
17,P00247,3,"26,86",False
17,P00217,1,"297,35",False
18,P00137,1,"163,12",False
18,P00082,1,"41,73",False
18,P00033,2,"376,07",False
18,P00047,2,"37,36",False
19,P00240,2,"149,80",False
19,P00201,2,"54,94",False
19,P00220,1,"291,50",False
19,P00020,3,"42,65",False
20,P00076,2,"372,18",False
20,P00021,3,"666,35",False
20,P00016,3,"120,50",False
20,P00004,1,"224,50",False
20,P00239,1,"343,56",False
21,P00033,1,"376,07",False
21,P00070,1,"75,45",False
22,P00040,1,"9,71",False
22,P00087,3,"525,71",False
22,P00065,3,"44,51",False
22,P00092,1,"28,64",False
22,P00148,1,"41,46",True
23,P00197,1,"124,56",False
24,P00038,2,"31,87",False
24,P00220,3,"291,50",False
24,P00079,1,"106,90",False
24,P00151,2,"265,70",False
24,P00222,3,"81,53",False
25,P00138,1,"33,53",False
25,P00104,2,"197,82",False
25,P00005,2,"44,38",False
25,P00210,1,"79,90",False
26,P00169,3,"31,59",False
26,P00206,3,"100,93",False
27,P00157,3,"30,58",False
27,P00109,1,"82,51",False
27,P00062,2,"72,54",False
28,P00016,3,"120,50",False
28,P00153,2,"59,99",False
29,P00207,2,"75,45",True
30,P00028,3,"164,63",False
30,P00026,3,"54,38",False
31,P00227,1,"10,13",False
31,P00241,2,"395,46",False
31,P00158,1,"187,68",False
31,P00067,1,"46,14",False
32,P00236,1,"69,24",False
32,P00020,1,"42,65",False
32,P00088,1,"300,17",False
33,P00143,3,"301,03",False
33,P00215,2,"57,95",False
34,P00184,1,"33,80",False
35,P00029,3,"32,90",False
35,P00214,1,"263,39",False
35,P00052,3,"44,98",False
35,P00195,3,"71,39",False
35,P00099,2,"239,40",False
36,P00011,2,"56,93",False
36,P00144,1,"31,85",False
37,P00094,2,"21,31",False
37,P00249,3,"219,83",True
37,P00044,3,"44,29",False
37,P00223,2,"181,28",False
37,P00197,1,"124,56",False
38,P00010,2,"90,39",False
38,P00196,2,"17,41",False
38,P00217,2,"297,35",False
38,P00171,2,"711,22",True
38,P00206,2,"100,93",False
39,P00063,3,"371,20",False
40,P00015,3,"51,81",False
40,P00105,2,"56,66",False
40,P00100,1,"216,83",True
41,P00197,2,"124,56",False
41,P00041,2,"449,53",False
41,P00180,3,"31,03",False
41,P00159,3,"664,48",False
41,P00148,1,"41,46",False
42,P00078,1,"453,23",False
43,P00038,1,"31,87",False
44,P00100,3,"216,83",False
44,P00183,1,"23,15",False
44,P00223,3,"181,28",False
44,P00060,2,"744,78",False
44,P00024,1,"187,87",False
45,P00126,3,"65,85",False
45,P00150,2,"108,30",False
46,P00083,3,"248,35",False
46,P00222,1,"81,53",False
46,P00198,1,"230,90",False
47,P00096,3,"117,38",False
47,P00026,2,"54,38",False
47,P00040,2,"9,71",False
47,P00164,1,"24,10",False
47,P00208,3,"50,44",False
48,P00202,2,"20,79",False
48,P00189,2,"105,53",False
48,P00109,2,"82,51",False
49,P00118,1,"41,01",True
50,P00194,3,"114,40",False
50,P00165,1,"159,20",False
50,P00186,1,"272,18",False
51,P00199,1,"205,84",False
52,P00172,1,"247,25",False
52,P00042,3,"72,73",False
52,P00067,2,"46,14",False
52,P00104,1,"197,82",False
53,P00107,2,"497,43",False
53,P00003,2,"37,48",False
53,P00097,3,"78,31",False
53,P00123,1,"15,08",False
54,P00122,2,"44,15",False
54,P00092,3,"28,64",False
54,P00229,3,"112,59",False
54,P00130,2,"37,75",False
55,P00236,3,"69,24",False
55,P00152,3,"335,29",False
55,P00015,3,"51,81",False
55,P00095,1,"301,80",False
55,P00089,1,"226,25",False
56,P00191,1,"290,17",False
56,P00084,3,"19,98",False
56,P00110,2,"211,81",False
56,P00081,1,"295,40",False
57,P00129,3,"150,00",False
57,P00128,3,"7,76",False
57,P00066,1,"291,08",False
57,P00020,3,"42,65",False
58,P00123,1,"15,08",False
58,P00192,1,"330,27",False
59,P00242,3,"116,13",False
59,P00027,1,"66,05",False
60,P00031,2,"590,54",False
60,P00043,1,"58,04",False
60,P00041,3,"449,53",False
60,P00096,1,"117,38",False
60,P00215,3,"57,95",False
61,P00214,2,"263,39",False
62,P00231,1,"70,64",False
63,P00174,2,"97,76",False
63,P00213,1,"26,47",True
64,P00236,1,"69,24",False
65,P00176,1,"9,71",False
65,P00075,3,"52,30",False
65,P00048,2,"100,55",False
66,P00219,1,"30,02",False
66,P00113,1,"103,15",False
67,P00057,3,"30,18",True
67,P00102,2,"12,60",False
67,P00041,2,"449,53",False
67,P00157,3,"30,58",False
67,P00179,3,"86,10",False
68,P00195,2,"71,39",False
68,P00221,1,"41,17",False
69,P00077,3,"515,87",False
70,P00102,3,"12,60",False
70,P00044,2,"44,29",False
70,P00142,3,"229,74",False
70,P00053,3,"132,16",False
71,P00130,3,"37,75",False
72,P00217,1,"297,35",False
