id_pedido,id_cliente,fecha_pedido,fecha_envio,metodo_pago,estado_pedido,metodo_envio
1,1544,06/04/2025,09/04/2025,Transferencia,Entregado,Recogida
2,488,27/01/2025,01/02/2025,Tarjeta,Pendiente,Recogida
3,624,09/04/2025,12/04/2025,Tarjeta,Entregado,Express
4,2365,12/11/2024,19/11/2024,Transferencia,Entregado,Recogida
5,208,08/07/2024,10/07/2024,Contra reembolso,Entregado,Recogida
6,394,29/02/2024,06/03/2024,Tarjeta,Enviado,Estandar
7,50,15/07/2025,17/07/2025,Transferencia,Pendiente,Express
8,2355,17/03/2025,23/03/2025,Contra reembolso,Enviado,Express
9,571,04/01/2025,11/01/2025,Contra reembolso,Pendiente,Recogida
10,287,27/04/2024,02/05/2024,Transferencia,Entregado,Express
11,1686,18/05/2025,22/05/2025,Tarjeta,Pendiente,Express
12,2249,12/04/2025,14/04/2025,Contra reembolso,Enviado,Estandar
13,1629,12/08/2025,14/08/2025,Tarjeta,Pendiente,Express
14,720,29/04/2025,02/05/2025,Tarjeta,Entregado,Recogida
15,1783,05/08/2025,09/08/2025,Tarjeta,Entregado,Express
16,1717,05/12/2024,08/12/2024,Contra reembolso,Enviado,Express
17,970,18/06/2025,20/06/2025,Transferencia,Enviado,Recogida
18,1433,07/03/2025,13/03/2025,Transferencia,Pendiente,Express
19,16,09/10/2024,15/10/2024,Transferencia,Enviado,Recogida
20,1675,22/03/2025,28/03/2025,Transferencia,Entregado,Express
21,1243,15/04/2025,21/04/2025,Contra reembolso,Enviado,Express
22,1259,02/04/2024,09/04/2024,Transferencia,Entregado,Express
23,1638,25/08/2024,01/09/2024,Contra reembolso,Enviado,Express
24,2020,30/08/2024,02/09/2024,Contra reembolso,Entregado,Estandar
25,266,11/11/2024,17/11/2024,Contra reembolso,Enviado,Recogida
26,745,24/06/2025,26/06/2025,Tarjeta,Enviado,Express
27,121,25/06/2025,27/06/2025,Contra reembolso,Enviado,Estandar
28,2070,05/04/2025,10/04/2025,Tarjeta,Pendiente,Estandar
29,2426,31/12/2024,06/01/2025,Contra reembolso,Pendiente,Estandar
30,55,12/08/2025,15/08/2025,Transferencia,Enviado,Estandar
31,2273,02/12/2024,07/12/2024,Tarjeta,Entregado,Estandar
32,1167,08/08/2025,15/08/2025,Transferencia,Entregado,Express
33,679,16/07/2025,23/07/2025,Tarjeta,Pendiente,Express
34,15,15/01/2025,20/01/2025,Tarjeta,Enviado,Recogida
35,1702,15/05/2025,17/05/2025,Transferencia,Pendiente,Recogida
