id,delivery_method,customer_id,order_date,ship_date,status,payment_type
1,Pickup,980,2025-03-26,2025-03-30,Delivered,Card
2,Standard,1132,2024-09-20,2024-09-27,Shipped,Bank Transfer
3,Standard,288,2025-07-13,2025-07-20,Pending,Cash on Delivery
4,Express,1555,2025-05-22,2025-05-29,Delivered,Bank Transfer
5,Express,1836,2024-01-21,2024-01-26,Delivered,Bank Transfer
6,Pickup,704,2025-01-03,2025-01-09,Pending,Card
7,Express,263,2025-04-05,2025-04-10,Shipped,Card
8,Pickup,417,2025-08-09,2025-08-16,Shipped,Bank Transfer
9,Standard,555,2024-11-21,2024-11-24,Delivered,Card
10,Express,810,2025-08-10,2025-08-15,Shipped,Cash on Delivery
11,Pickup,1760,2025-06-15,2025-06-19,Pending,Bank Transfer
12,Pickup,1285,2024-10-27,2024-11-03,Delivered,Bank Transfer
13,Express,1259,2024-12-25,2024-12-29,Pending,Card
14,Express,1709,2025-05-31,2025-06-07,Delivered,Bank Transfer
15,Pickup,542,2024-12-23,2024-12-28,Delivered,Card
16,Standard,1726,2025-07-04,2025-07-07,Delivered,Bank Transfer
17,Express,1996,2025-03-06,2025-03-08,Shipped,Cash on Delivery
18,Pickup,399,2025-05-10,2025-05-14,Pending,Card
19,Pickup,1351,2025-01-06,2025-01-12,Pending,Cash on Delivery
20,Standard,203,2024-11-25,2024-11-28,Delivered,Card
21,Standard,1048,2024-07-28,2024-08-04,Pending,Cash on Delivery
22,Standard,1521,2025-04-25,2025-04-28,Delivered,Card
23,Standard,1390,2025-06-28,2025-07-01,Pending,Bank Transfer
24,Pickup,1810,2025-06-27,2025-06-30,Pending,Card
25,Express,1619,2024-10-20,2024-10-26,Shipped,Cash on Delivery
26,Pickup,1910,2025-07-20,2025-07-27,Pending,Cash on Delivery
27,Standard,829,2025-04-29,2025-05-05,Pending,Cash on Delivery
28,Standard,890,2025-07-09,2025-07-11,Shipped,Card
29,Standard,529,2024-09-28,2024-10-05,Shipped,Cash on Delivery
30,Standard,1845,2025-07-15,2025-07-21,Pending,Bank Transfer
31,Standard,1581,2025-07-17,2025-07-21,Shipped,Card
32,Standard,1499,2025-05-30,2025-06-06,Pending,Bank Transfer
33,Pickup,799,2024-10-12,2024-10-16,Pending,Bank Transfer
34,Pickup,1886,2025-08-13,2025-08-17,Pending,Card
35,Standard,1157,2025-05-07,2025-05-13,Delivered,Bank Transfer
36,Pickup,907,2024-05-31,2024-06-04,Shipped,Card
37,Express,430,2025-08-14,2025-08-20,Shipped,Cash on Delivery
38,Express,1218,2024-01-07,2024-01-11,Shipped,Bank Transfer
39,Standard,974,2024-08-23,2024-08-30,Delivered,Bank Transfer
40,Standard,1145,2025-07-25,2025-07-31,Delivered,Bank Transfer
41,Standard,322,2025-07-19,2025-07-21,Shipped,Card
42,Express,1748,2024-12-16,2024-12-21,Shipped,Card
43,Express,442,2025-07-23,2025-07-26,Shipped,Bank Transfer
44,Express,422,2025-08-06,2025-08-10,Delivered,Cash on Delivery
45,Express,1709,2024-03-16,2024-03-21,Pending,Cash on Delivery
46,Pickup,482,2024-09-02,2024-09-08,Pending,Card
47,Pickup,1558,2025-06-08,2025-06-15,Pending,Card
48,Pickup,860,2025-08-09,2025-08-11,Shipped,Bank Transfer
49,Standard,667,2025-08-06,2025-08-11,Pending,Bank Transfer
50,Standard,1952,2025-01-30,2025-02-04,Pending,Bank Transfer
51,Pickup,299,2024-09-17,2024-09-19,Shipped,Cash on Delivery
52,Standard,1153,2025-08-11,2025-08-15,Delivered,Bank Transfer
53,Standard,1573,2024-07-18,2024-07-21,Shipped,Card
54,Pickup,283,2025-03-23,2025-03-27,Delivered,Bank Transfer
55,Express,1974,2024-10-20,2024-10-25,Delivered,Cash on Delivery
56,Express,583,2025-06-08,2025-06-12,Pending,Cash on Delivery
57,Pickup,752,2024-02-08,2024-02-13,Pending,Card
58,Pickup,891,2025-04-29,2025-05-01,Shipped,Bank Transfer
59,Standard,849,2024-02-03,2024-02-09,Pending,Card
60,Pickup,1559,2025-08-03,2025-08-05,Delivered,Bank Transfer
61,Pickup,845,2024-09-09,2024-09-15,Shipped,Cash on Delivery
62,Pickup,881,2025-06-29,2025-07-02,Delivered,Card
63,Standard,1666,2024-06-16,2024-06-21,Shipped,Cash on Delivery
64,Pickup,618,2025-05-13,2025-05-18,Shipped,Cash on Delivery
65,Standard,194,2024-01-09,2024-01-13,Delivered,Card
66,Standard,835,2023-11-09,2023-11-12,Shipped,Card
67,Pickup,427,2025-07-27,2025-07-31,Pending,Card
68,Pickup,1265,2024-12-07,2024-12-09,Pending,Card
69,Pickup,1749,2025-07-17,2025-07-24,Delivered,Cash on Delivery
70,Express,700,2025-07-08,2025-07-10,Delivered,Bank Transfer
71,Express,627,2024-02-19,2024-02-23,Shipped,Cash on Delivery
72,Pickup,955,2025-03-06,2025-03-10,Delivered,Bank Transfer
73,Standard,943,2025-03-03,2025-03-10,Pending,Cash on Delivery
74,Standard,183,2023-12-15,2023-12-19,Shipped,Card
75,Express,1355,2024-03-06,2024-03-09,Shipped,Bank Transfer
76,Express,532,2025-07-12,2025-07-14,Delivered,Bank Transfer
77,Pickup,880,2025-02-09,2025-02-15,Pending,Bank Transfer
78,Standard,855,2025-07-28,2025-08-02,Pending,Card
79,Pickup,794,2025-07-19,2025-07-23,Shipped,Card
80,Standard,1316,2025-03-25,2025-03-29,Delivered,Card
81,Standard,689,2023-12-05,2023-12-11,Shipped,Cash on Delivery
82,Pickup,665,2025-01-10,2025-01-13,Shipped,Card
83,Pickup,1149,2024-12-02,2024-12-09,Pending,Card
84,Standard,353,2025-08-04,2025-08-09,Pending,Cash on Delivery
85,Standard,467,2025-06-19,2025-06-22,Pending,Cash on Delivery
86,Express,1978,2025-03-28,2025-04-04,Shipped,Cash on Delivery
87,Express,1603,2025-04-23,2025-04-28,Pending,Cash on Delivery
88,Pickup,845,2025-06-13,2025-06-16,Delivered,Cash on Delivery
89,Pickup,1746,2025-07-28,2025-08-01,Shipped,Cash on Delivery
90,Express,365,2025-04-28,2025-05-04,Shipped,Cash on Delivery
91,Express,62,2025-01-03,2025-01-06,Pending,Cash on Delivery
92,Express,1743,2025-07-29,2025-07-31,Pending,Bank Transfer
93,Express,724,2025-06-02,2025-06-06,Pending,Cash on Delivery
94,Express,1470,2025-02-19,2025-02-25,Shipped,Card
95,Standard,243,2025-01-31,2025-02-02,Pending,Bank Transfer
96,Standard,1380,2024-11-30,2024-12-06,Delivered,Bank Transfer
97,Pickup,727,2024-12-16,2024-12-19,Pending,Cash on Delivery
98,Standard,1737,2025-06-12,2025-06-15,Delivered,Card
99,Express,1585,2025-03-01,2025-03-03,Delivered,Cash on Delivery
100,Standard,433,2025-06-24,2025-06-28,Pending,Cash on Delivery
101,Pickup,1349,2024-03-13,2024-03-17,Pending,Card
102,Express,194,2024-03-02,2024-03-09,Shipped,Bank Transfer
103,Express,1881,2025-03-25,2025-03-28,Pending,Card
104,Pickup,1832,2025-06-15,2025-06-19,Pending,Card
105,Pickup,1037,2025-03-26,2025-04-01,Pending,Bank Transfer
106,Standard,567,2024-09-28,2024-10-05,Delivered,Card
107,Pickup,1074,2025-06-13,2025-06-19,Pending,Card
108,Standard,249,2025-07-20,2025-07-24,Delivered,Cash on Delivery
109,Standard,1376,2025-04-27,2025-05-02,Shipped,Bank Transfer
110,Pickup,603,2025-06-24,2025-07-01,Pending,Cash on Delivery
111,Standard,1826,2025-07-23,2025-07-28,Pending,Bank Transfer
112,Express,209,2025-05-02,2025-05-06,Pending,Bank Transfer
113,Express,1731,2025-06-17,2025-06-23,Delivered,Bank Transfer
114,Standard,1181,2025-05-12,2025-05-16,Shipped,Card
115,Express,1357,2025-02-18,2025-02-22,Pending,Bank Transfer
116,Standard,1152,2025-06-05,2025-06-08,Pending,Bank Transfer
117,Pickup,199,2024-02-13,2024-02-19,Shipped,Card
118,Standard,1366,2025-08-12,2025-08-18,Pending,Cash on Delivery
119,Pickup,480,2025-01-20,2025-01-26,Shipped,Cash on Delivery
120,Pickup,1788,2025-07-01,2025-07-06,Shipped,Bank Transfer
121,Standard,223,2025-01-10,2025-01-16,Shipped,Card
122,Standard,816,2025-08-12,2025-08-16,Pending,Bank Transfer
123,Express,375,2024-05-07,2024-05-11,Delivered,Bank Transfer
124,Pickup,750,2025-05-31,2025-06-02,Delivered,Bank Transfer
125,Express,1141,2025-04-26,2025-05-01,Pending,Cash on Delivery
126,Express,1428,2024-04-15,2024-04-18,Delivered,Cash on Delivery
127,Express,1584,2024-08-23,2024-08-29,Pending,Bank Transfer
128,Standard,795,2024-09-06,2024-09-12,Pending,Bank Transfer
129,Express,1409,2025-07-03,2025-07-09,Shipped,Bank Transfer
130,Pickup,1474,2024-08-03,2024-08-08,Pending,Card
131,Pickup,308,2025-02-23,2025-02-25,Shipped,Cash on Delivery
132,Express,1563,2024-08-26,2024-09-02,Delivered,Card
133,Standard,1676,2025-03-04,2025-03-08,Pending,Bank Transfer
134,Standard,995,2025-07-05,2025-07-10,Pending,Card
135,Pickup,157,2025-02-07,2025-02-09,Pending,Card
136,Express,1037,2025-05-18,2025-05-25,Delivered,Bank Transfer
137,Standard,1233,2024-06-23,2024-06-25,Delivered,Cash on Delivery
138,Standard,362,2025-03-18,2025-03-22,Shipped,Card
139,Pickup,124,2024-07-01,2024-07-08,Delivered,Bank Transfer
140,Pickup,584,2025-08-13,2025-08-18,Delivered,Bank Transfer
141,Express,1831,2024-09-19,2024-09-26,Shipped,Cash on Delivery
142,Express,1088,2024-07-25,2024-07-29,Shipped,Cash on Delivery
143,Express,1510,2025-04-12,2025-04-17,Pending,Bank Transfer
144,Standard,1787,2025-07-28,2025-07-31,Pending,Cash on Delivery
145,Pickup,1230,2025-03-11,2025-03-18,Pending,Cash on Delivery
146,Standard,1441,2024-11-12,2024-11-15,Pending,Bank Transfer
147,Express,1808,2024-12-16,2024-12-21,Shipped,Bank Transfer
148,Standard,1882,2024-12-07,2024-12-12,Pending,Cash on Delivery
149,Express,719,2025-07-18,2025-07-22,Delivered,Cash on Delivery
